outcome,cntry,term,or,or_low,or_high
w1gq13,AT,clusterMid,0.270895513135284,0.15880130240543006,0.4621144658465943
w1gq13,AT,clusterHigh,0.05160929667941651,0.02721081710560889,0.09788458367150643
w1gq13,AT,gndrFemale,1.0206109990599392,0.637327191577862,1.6343988224059158
w1gq13,AT,age,1.0160243748555755,1.0042189107079478,1.027968622471882
w1gq13,AT,eisced,0.8301091689714999,0.729502266896978,0.9445909405348947
w1gq13,AT,hinctnta,1.0887423879168674,0.9827547992946013,1.2061604665759422
w1gq13,AT,w1xq3,1.0897562697146055,0.9232747967331154,1.286257061910869
w1gq13,AT,hincfel,1.7484812167582808,1.2596358761129902,2.4270399274355747
w1gq13,AT,1|2,0.15506817988021074,0.029626799962572174,0.8116347510274183
w1gq13,AT,2|3,0.9449712212487965,0.17257146362007142,5.174497511097091
w1gq13,AT,3|4,2.994125884072041,0.5536943973069421,16.190862420268495
w1gq13,AT,4|5,23.39924984190153,4.512856785624391,121.325563644709
w1gq13,BE,clusterMid,0.5210482018006934,0.3491391075919746,0.7776018861714499
w1gq13,BE,clusterHigh,0.17955794489493299,0.11578041655569771,0.27846726185668713
w1gq13,BE,gndrFemale,0.9132438434947977,0.6505609262452787,1.2819926374838948
w1gq13,BE,age,1.0020066417955489,0.9929230922357499,1.011173290311602
w1gq13,BE,eisced,1.0084055664159364,0.8916463039622229,1.1404542158251672
w1gq13,BE,hinctnta,0.9502596283314761,0.8864061979804612,1.0187128240912635
w1gq13,BE,w1xq3,1.3000211898633203,1.1054436057200006,1.5288478628386222
w1gq13,BE,hincfel,1.3792354619317546,0.9320261739075092,2.0410268645941234
w1gq13,BE,1|2,0.18700563730610759,0.05601850460821232,0.6242777922910976
w1gq13,BE,2|3,0.9413663143321063,0.3109299140484001,2.850065232453866
w1gq13,BE,3|4,3.644919067402638,1.2450430481570425,10.670663177133429
w1gq13,BE,4|5,14.0614121746926,4.813140336476511,41.079897639414725
w1gq13,CZ,clusterMid,0.3824345801634212,0.22173462170919198,0.6596002328251167
w1gq13,CZ,clusterHigh,0.1749428593362608,0.10112587038812267,0.3026426760559316
w1gq13,CZ,gndrFemale,1.0097536744875388,0.6542795187472904,1.558359162905264
w1gq13,CZ,age,1.0021772850461825,0.9881528922641908,1.0164007194890785
w1gq13,CZ,eisced,0.9657109156388451,0.8533119438807422,1.0929151751265718
w1gq13,CZ,hinctnta,1.0225886059100384,0.9297952342711199,1.1246427368029752
w1gq13,CZ,w1xq3,1.257437693482554,1.0460777746778767,1.511502864572011
w1gq13,CZ,hincfel,1.758767797229801,1.296873398796177,2.385170493468283
w1gq13,CZ,1|2,0.10919377426976384,0.020499137174277503,0.5816479121978646
w1gq13,CZ,2|3,1.5231468825985301,0.2741273557961995,8.463133565168196
w1gq13,CZ,3|4,7.223249115108224,1.2798195120256755,40.767723330244884
w1gq13,CZ,4|5,19.696856718259838,3.4000449520054503,114.10618684638962
w1gq13,FI,clusterMid,0.26162814008849433,0.19456272651879283,0.3518108782236525
w1gq13,FI,clusterHigh,0.06982771293215406,0.04985928547747084,0.0977934089235699
w1gq13,FI,gndrFemale,0.9087366402061287,0.7124517034938829,1.1590993146670372
w1gq13,FI,age,0.9927068975465848,0.9861797540348347,0.9992772417043112
w1gq13,FI,eisced,0.8643943694484044,0.7891989360009212,0.9467544770400358
w1gq13,FI,hinctnta,1.0565755879407464,0.9939883570428644,1.1231036713080864
w1gq13,FI,w1xq3,1.291824836550576,1.1639245712044266,1.43377968780403
w1gq13,FI,hincfel,1.4728328310317833,1.1625889269594634,1.8658672019510238
w1gq13,FI,1|2,0.06962118905753645,0.028821825994863732,0.16817497845726437
w1gq13,FI,2|3,0.55760571721940555,0.23690811870465944,1.3124249923379792
w1gq13,FI,3|4,2.406276499438408,1.0103577907633914,5.730808080744059
w1gq13,FI,4|5,8.754345549925912,3.611218658989114,21.222355455197217
w1gq13,FR,clusterMid,0.41383329870280833,0.2332224788528793,0.7343117179681478
w1gq13,FR,clusterHigh,0.17589468209090442,0.10056335017150565,0.30765621009140554
w1gq13,FR,gndrFemale,0.9655721014012718,0.6015302732488252,1.5499294457268427
w1gq13,FR,age,1.0100930668016657,0.9959972011178722,1.0243884244410113
w1gq13,FR,eisced,0.9329743838384946,0.7836314483951768,1.1107788012865258
w1gq13,FR,hinctnta,1.056643224169684,0.946141141637926,1.180051108707596
w1gq13,FR,w1xq3,1.1739459172319227,0.9460121602073756,1.4567984160831462
w1gq13,FR,hincfel,2.057440990911981,1.391037236010275,3.0430985752947937
w1gq13,FR,1|2,0.38829892892062123,0.06497879334667718,2.3203887058424715
w1gq13,FR,2|3,1.930394896090164,0.31064025311700655,11.995948424132115
w1gq13,FR,3|4,8.235016189542472,1.3626403033975545,49.76771307361018
w1gq13,FR,4|5,24.287852711871405,3.9170288539055127,150.5987858030185
w1gq13,HU,clusterMid,0.5671958245492348,0.2449351844723299,1.3134540228638718
w1gq13,HU,clusterHigh,0.6644864498125017,0.16920103505142173,2.6095717549850312
w1gq13,HU,gndrFemale,0.806104951506877,0.344737257741053,1.8849288211603783
w1gq13,HU,age,1.0048715811910855,0.9812127813887852,1.0291008370847683
w1gq13,HU,eisced,0.8033496346449018,0.565718821069758,1.1407975330637221
w1gq13,HU,hinctnta,0.9453054845625823,0.7909687182167137,1.129757016382113
w1gq13,HU,w1xq3,1.2913708792128686,0.9171975153398857,1.8181893428494962
w1gq13,HU,hincfel,0.6880309042666751,0.3296364870385165,1.4360865493955637
w1gq13,HU,1|2,0.013936728266908113,6.033290086052737e-4,0.3219344536982335
w1gq13,HU,2|3,0.06735994682740365,0.0037964465394857167,1.195160366252727
w1gq13,HU,3|4,0.41961203918845497,0.024295894519445523,7.247078854864563
w1gq13,HU,4|5,1.0479258618161562,0.060420652249759066,18.17505390911289
w1gq13,PL,clusterMid,0.3575676964059571,0.22588785590527974,0.566009434197628
w1gq13,PL,clusterHigh,0.17654894120838194,0.09575633527001154,0.3255087880494754
w1gq13,PL,gndrFemale,1.2068209286213594,0.7682877893904411,1.8956656266970477
w1gq13,PL,age,0.9938076647359378,0.9798970806062112,1.0079157230235736
w1gq13,PL,eisced,0.8972311012618099,0.7963114490084123,1.0109406942144517
w1gq13,PL,hinctnta,1.0067382996417646,0.9059899855892235,1.118690073937664
w1gq13,PL,w1xq3,1.092831630721487,0.9235595697950029,1.2931282530811434
w1gq13,PL,hincfel,0.9847665460165156,0.6223746043736907,1.558169538632114
w1gq13,PL,1|2,0.008682158390107254,0.0015300956841206254,0.0492648107521668
w1gq13,PL,2|3,0.06465944213096153,0.012814925292081912,0.3262479773698271
w1gq13,PL,3|4,0.2654715990826346,0.05251419332059786,1.3420213748546397
w1gq13,PL,4|5,0.949644611564788,0.18398941380235473,4.901504220469968
w1gq13,PT,clusterMid,0.934944181101959,0.4701613885167208,1.859192700902374
w1gq13,PT,clusterHigh,0.5404864516417601,0.2730716017434704,1.0697765807325879
w1gq13,PT,gndrFemale,0.8711232871834398,0.48544954745096364,1.5632021606734228
w1gq13,PT,age,0.960187826824454,0.940496725857517,0.9802911987186892
w1gq13,PT,eisced,0.8165368342487689,0.7128440664790957,0.9353131112925572
w1gq13,PT,hinctnta,0.9796066360781699,0.8607360189672975,1.1148936959786364
w1gq13,PT,w1xq3,0.9127643329800388,0.6819251632673358,1.221745101131983
w1gq13,PT,hincfel,1.2452018950293515,0.8209855425422281,1.8886176175324492
w1gq13,PT,1|2,0.005665293069290847,6.550787183685081e-4,0.048994944669992886
w1gq13,PT,2|3,0.03983686816527576,0.004961928647163839,0.319830488921813
w1gq13,PT,3|4,0.12962113800646874,0.01695790607756475,0.9907850262433353
w1gq13,PT,4|5,0.3151703263421187,0.04133644462427049,2.4030207607229754
w1gq13,SI,clusterMid,0.6313664183680308,0.4560291632344334,0.8741185572773393
w1gq13,SI,clusterHigh,0.27254104133464657,0.18331392491514076,0.40519900081872345
