model,outcome,country,term,estimate,std.error,conf.low,conf.high,or,or_low,or_high
by_country,w1gq15,AT,clusterHigh,-1.4067703397140536,0.33585352387692446,-2.0650311505936885,-0.7485095288344187,0.24493305768434495,0.12681434016448237,0.4730711264103949
by_country,w1gq15,AT,gndrFemale,-0.1271850879665119,0.2536605094072651,-0.6243505507048349,0.3699803747718111,0.8805706744776179,0.5356091665833688,1.44770620281995
by_country,w1gq15,AT,age,-5.410337146178859e-4,0.0063824970521341295,-0.01305049806823384,0.011968430638998068,0.9994591126177309,0.987034290436823,1.0120403388949533
by_country,w1gq15,AT,eisced,-0.18410428600251644,0.08018076843095515,-0.34125570437993463,-0.026952867625098242,0.8318490490910713,0.7108771105734059,0.9734071194324461
by_country,w1gq15,AT,hinctnta,0.06393665281598097,0.05595280570274359,-0.04572883119536378,0.17360213682732573,1.0660248669491372,0.9553009748944749,1.1895821807147813
by_country,w1gq15,AT,w1xq3,-0.041021715976850635,0.09078223088739305,-0.21895161895234067,0.13690818699863938,0.9598082865469506,0.8033605846401514,1.1467228596195567
by_country,w1gq15,AT,hincfel,0.40741713720597905,0.2010980024619918,0.01327229501752808,0.80156197939443,1.5029309033203404,1.0133607628823078,2.2290198938930423
by_country,w1gq15,AT,1|2,-1.8872571602728432,0.8687514595014406,-3.589978732412274,-0.18453558813341253,0.15148674338464704,0.027598917379404207,0.8314903481834078
by_country,w1gq15,AT,2|3,-0.04180908267058836,0.9017556147206399,-1.8092176103798192,1.7255994450386425,0.9590528629064841,0.163782228202795,5.615886436166014
by_country,w1gq15,AT,3|4,1.1980074192091217,0.9006089037916859,-0.5671535963786809,2.9631684347969243,3.313507908217212,0.5671374454787916,19.359213089075745
by_country,w1gq15,AT,4|5,2.6804328236643973,0.9368077778819313,0.8443233185788137,4.516542328749981,14.591407435762697,2.326403048101877,91.51860900893531
by_country,w1gq15,BE,clusterMid,-0.6551599979389453,0.21637835577065198,-1.0792537822834176,-0.23106621359447294,0.5193589595759652,0.33984903241650605,0.7936869114320553
by_country,w1gq15,BE,clusterHigh,-1.4966499932982262,0.2684904132044954,-2.0228815333733143,-0.970418453223138,0.22387890112370598,0.1322737641364574,0.37892444276894616
by_country,w1gq15,BE,gndrFemale,-0.15007337387511768,0.18406347204009219,-0.5108311499430935,0.21068440219285814,0.8606448252623339,0.5999966843028999,1.2345226809235108
by_country,w1gq15,BE,age,-4.987166766273449e-4,0.005069411939468572,-0.010434581500783087,0.009437148147528399,0.9995014076618637,0.9896196698839664,1.0094818184395837
by_country,w1gq15,BE,eisced,-0.020367603612776602,0.06202037293720311,-0.14192530087743732,0.10119009365188411,0.9798384149534018,0.867686069453196,1.1064869579195002
by_country,w1gq15,BE,hinctnta,-0.04326692722831772,0.04351164834328708,-0.12854819088913227,0.04201433643249684,0.9576557315573327,0.8793711837180698,1.0429094302442345
by_country,w1gq15,BE,w1xq3,0.01973070592663892,0.08755447016408537,-0.15187290228045508,0.19133431413373292,1.0199266428410736,0.8590974631309909,1.210864193436049
by_country,w1gq15,BE,hincfel,-0.12823260800560643,0.18056319834185905,-0.4821299736890125,0.22566475767779964,0.8796487420059359,0.6174668021108582,1.2531554840962982
by_country,w1gq15,BE,1|2,-2.7106657573884547,0.6125947248028994,-3.911329355121363,-1.5100021596555464,0.06649252408672125,0.02001387781875584,0.2209095008704342
by_country,w1gq15,BE,2|3,-0.7451946743656048,0.5983960426532164,-1.9180293664572028,0.42764001772599314,0.47464189033642307,0.14689615558110128,1.5336339005669444
by_country,w1gq15,BE,3|4,0.6717247832740576,0.6123840045341625,-0.5285258103213137,1.871975376869429,1.9576108649602006,0.589473324952408,6.501125897290817
by_country,w1gq15,BE,4|5,1.8619464556140586,0.6131876622297848,0.660120721879369,3.0637721893487484,6.436252466602177,1.935025920268008,21.408160676268903
by_country,w1gq15,CZ,clusterMid,-0.7973278489167858,0.26794226802506843,-1.322485044181898,-0.2721706536516736,0.4505312446175816,0.26647228309471765,0.7617242589711232
by_country,w1gq15,CZ,clusterHigh,-1.2847673725187898,0.27629705621033684,-1.8262996517254888,-0.7432350933120908,0.2767149476465481,0.161008253437365,0.4755729014899186
by_country,w1gq15,CZ,gndrFemale,-0.21908945802430208,0.22504797557334238,-0.6601753849417029,0.2219964688930987,0.8032498577941324,0.5167606944992076,1.2485669690330583
by_country,w1gq15,CZ,age,-0.012207523262397935,0.007926260237446216,-0.027742707859884412,0.003327661335088543,0.9878666862712236,0.9726385868736133,1.0033332041465635
by_country,w1gq15,CZ,eisced,-0.04868340568155691,0.07019106720265587,-0.186255369435193,0.08888855807207918,0.952482632558824,0.8300615955531658,1.0929588480980141
by_country,w1gq15,CZ,hinctnta,-0.09794889477726454,0.06121592007224696,-0.21792989339935115,0.022032103844822057,0.9066952394320776,0.8041818181439286,1.022276602953062
by_country,w1gq15,CZ,w1xq3,0.042924155453983134,0.09642543380989903,-0.14606622200706976,0.23191453291503605,1.0438587208574035,0.8641004788218901,1.2610119492071865
by_country,w1gq15,CZ,hincfel,0.06065121609672867,0.16738667612166172,-0.2674206405935989,0.38872307278705626,1.0625282567985452,0.7653510660191191,1.4750960005419953
by_country,w1gq15,CZ,1|2,-3.961595558338885,1.0654880336436185,-6.049913730238778,-1.8732773864389918,0.019032722233237317,0.0023580654274569395,0.15361936585374114
by_country,w1gq15,CZ,2|3,-1.918129304887291,1.0437180869803406,-3.9637791653818018,0.12752055560721987,0.1468814757434787,0.01899120758925307,1.1360082193399184
by_country,w1gq15,CZ,3|4,-0.47085686622115674,1.053944592572176,-2.5365503093633626,1.5948365769210489,0.6244669543298381,0.07913893428114649,4.9275237352151855
by_country,w1gq15,CZ,4|5,0.9940705390407849,1.0482384001375615,-1.060438972440721,3.0485800505222906,2.702211573539449,0.3463037591529747,21.085382977159696
by_country,w1gq15,FI,clusterMid,-0.6946336299322882,0.14913636574595387,-0.9869355355795506,-0.40233172428502567,0.499257327423168,0.37271712108234706,0.6687588653343726
by_country,w1gq15,FI,clusterHigh,-1.547855933827552,0.164953863727826,-1.8711595658448188,-1.224552301810285,0.21270353573051037,0.15394504885776808,0.29388924455804316
by_country,w1gq15,FI,gndrFemale,0.1346166599367997,0.12664060524801296,-0.1135943653296598,0.38282768520325916,1.1440981216319352,0.89261996005996,1.4664253215150997
by_country,w1gq15,FI,age,-0.00893077408939932,0.003435876867855383,-0.015664969005710155,-0.0021965791730884842,0.9911089868202462,0.9844570884480627,0.9978058315415118
by_country,w1gq15,FI,eisced,-0.056179681664934124,0.04323298150322226,-0.14091476835553607,0.028555405025667814,0.9453692551068872,0.8685633376245342,1.0289670191993445
by_country,w1gq15,FI,hinctnta,-0.007163472872600327,0.02921811960980929,-0.06442993500381002,0.050102989258609364,0.9928621236427483,0.9376018050276083,1.0513793715823332
by_country,w1gq15,FI,w1xq3,0.08938800944758184,0.049826857931021575,-0.008270837560014385,0.18704685645517805,1.093504864240971,0.9917632717147558,1.2056837777942826
by_country,w1gq15,FI,hincfel,0.09347768386898572,0.11007115735897752,-0.1222578202912511,0.30921318802922254,1.0979861002662283,0.8849201887084137,1.3623527768503463
by_country,w1gq15,FI,1|2,-2.6099891357347365,0.4126997999454571,-3.4188658800547174,-1.8011123914147555,0.0735353426661863,0.03274955580972402,0.16511511339118248
by_country,w1gq15,FI,2|3,-0.5512419551663297,0.4171617762160672,-1.368864012276579,0.2663801019439196,0.5762337093575003,0.25439578595985435,1.3052310852833995
by_country,w1gq15,FI,3|4,1.054483074117891,0.4210613428086373,0.22921800693088878,1.8797481413048933,2.870490939259052,1.2576161781698738,6.551854512844322
by_country,w1gq15,FI,4|5,2.5569734646725273,0.4408690980711976,1.6928859105563232,3.4210610187887314,12.896725793224087,5.435143431450991,30.601866957760937
by_country,w1gq15,FR,clusterMid,-0.8920949315311621,0.2886586818889093,-1.4578555518582288,-0.3263343112040956,0.40979635756879035,0.23273482774704446,0.7215639202017992
by_country,w1gq15,FR,clusterHigh,-1.7695899986758372,0.3127954819374285,-2.382657877800046,-1.1565221195516284,0.17040283989491345,0.09230491599875525,0.31457834645170013
by_country,w1gq15,FR,gndrFemale,-0.3155357080521088,0.22744083628985598,-0.761311555793897,0.13024013968967935,0.7293980251926174,0.4670534584570497,1.1391018940582684
by_country,w1gq15,FR,age,0.0023783821865129735,0.007547502265072579,-0.012414450426263757,0.017171214799289704,1.0023812127810592,0.9876622909677555,1.0173194875668592
