w1gq5,w1gq1,w1gq10,w1gq13,w1gq14,w1gq15,w1gq16,gndr,age,eisced,hinctnta,w1xq3,hincfel,cntry,w1weight,risk_score,cluster
5,5,8,2,1,1,2,Male,63,3,4,3,2,AT,0.7948093,1.7062431758456378,High
3,1,7,3,2,3,2,Male,56,5,5,4,2,AT,0.023591185,-0.9478717134884941,Low
5,4,10,3,2,2,3,Male,59,3,2,1,3,AT,0.33118406,1.5372696196742017,High
4,5,10,2,2,2,2,Male,46,7,7,3,2,AT,0.16656438,1.0880911534142983,High
3,4,8,2,2,2,2,Male,44,5,8,1,2,AT,0.09919314,-0.04145748047418853,Mid
4,5,10,1,1,1,1,Male,57,5,9,4,1,AT,0.03819599,1.0880911534142983,High
5,4,10,2,2,4,2,Female,34,3,2,3,3,AT,0.03902537,1.5372696196742017,High
3,3,7,2,1,2,2,Female,61,5,8,1,1,AT,0.12275925,-0.3816425642884806,Low
5,5,10,2,1,1,1,Female,57,5,10,3,1,AT,0.060603973,1.8203841942742083,High
3,3,10,4,1,3,2,Female,27,5,2,3,2,AT,0.015445923,-0.21043103664562482,Mid
5,4,10,3,1,1,2,Female,58,4,6,1,3,AT,0.08858607,1.5372696196742017,High
4,5,10,1,1,1,1,Male,56,5,1,5,2,AT,0.03789264,1.0880911534142983,High
3,4,8,2,2,2,2,Female,38,7,9,4,2,AT,0.075836696,-0.04145748047418853,Mid
3,1,2,3,2,2,2,Male,77,5,3,3,2,AT,0.17710026,-1.2332242595599203,Low
3,3,6,4,3,2,3,Male,61,5,5,4,2,AT,0.18295711,-0.4387130735027658,Low
3,4,8,2,1,3,2,Male,65,3,9,1,1,AT,0.11379136,-0.04145748047418853,Mid
3,1,1,5,1,3,3,Female,26,7,4,4,2,AT,0.02952851,-1.2902947687742057,Low
4,4,8,1,1,1,2,Female,70,7,10,2,1,AT,0.035833705,0.6908355603857214,High
4,5,9,1,1,1,1,Male,56,7,10,3,1,AT,0.1383858,1.0310206442000132,High
5,5,10,2,3,1,1,Female,37,7,10,1,1,AT,0.09573835,1.8203841942742083,High
2,4,8,4,1,1,5,Female,36,7,4,4,1,AT,0.10443033,-0.7737505213340985,Low
2,3,4,2,2,2,2,Male,65,5,6,1,1,AT,0.049492072,-1.2851471327912465,Low
4,5,8,4,2,4,4,Male,41,5,7,3,2,AT,0.04538754,0.973950134985728,High
5,5,10,2,1,2,2,Male,61,5,6,4,2,AT,0.070243455,1.8203841942742083,High
4,4,10,1,1,1,1,Male,53,5,8,4,1,AT,0.089050606,0.8049765788142919,High
4,3,7,2,1,1,2,Male,50,7,10,1,1,AT,0.31016856,0.3506504765714293,Mid
5,5,10,1,1,1,2,Male,67,3,6,3,2,AT,0.26671493,1.8203841942742083,High
4,5,10,4,1,3,4,Male,67,7,NA,2,1,AT,0.06979761,1.0880911534142983,High
4,4,4,3,1,2,3,Female,55,7,5,1,1,AT,0.03332626,0.4625535235285804,Mid
4,5,10,1,2,2,2,Male,40,6,7,1,2,AT,0.14861877,1.0880911534142983,High
3,3,8,3,2,4,3,Male,27,5,6,2,1,AT,0.053004462,-0.3245720550741953,Mid
5,5,10,1,1,1,1,Male,61,5,8,1,2,AT,0.088709906,1.8203841942742083,High
4,4,6,4,2,2,2,Female,73,2,7,4,1,AT,0.41048536,0.576694541957151,High
5,5,10,2,2,3,2,Female,64,4,1,1,4,AT,0.062168464,1.8203841942742083,High
5,4,10,2,2,1,2,Female,36,7,9,2,1,AT,0.052524254,1.5372696196742017,High
4,4,10,1,2,2,3,NA,25,5,8,3,1,AT,0.105635874,0.8049765788142919,High
4,3,8,2,2,2,2,Female,34,7,8,2,1,AT,0.09306544,0.4077209857857146,Mid
4,4,10,3,1,3,3,Male,75,5,3,3,1,AT,0.04939334,0.8049765788142919,High
4,5,10,1,1,1,1,Male,52,4,9,1,1,AT,0.11794617,1.0880911534142983,High
5,4,10,NA,1,1,1,Female,42,6,9,5,2,AT,0.09394665,1.5372696196742017,High
2,4,4,4,4,5,4,Male,81,3,8,2,1,AT,0.08144331,-1.0020325581912395,Low
4,5,10,4,1,1,3,Female,37,6,1,2,3,AT,0.0784903,1.0880911534142983,High
3,4,7,2,2,2,2,Female,25,6,NA,3,1,AT,0.4176583,-0.09852798968847376,Mid
2,3,6,4,1,4,3,Female,32,3,5,3,1,AT,0.0354286,-1.171006114362676,Low
4,3,10,2,2,2,2,Female,35,6,9,2,1,AT,0.11445806,0.5218620042142851,Mid
5,5,10,3,1,1,1,Female,46,5,6,5,2,AT,0.029586257,1.8203841942742083,High
2,2,5,5,2,4,5,Male,49,3,3,1,3,AT,0.049168862,-1.511191198176968,Low
3,3,5,3,3,2,3,Female,70,4,5,1,1,AT,0.053543117,-0.49578358271705103,Low
3,4,4,2,3,2,1,Female,37,3,10,4,2,AT,0.058076758,-0.26973951733132945,Mid
4,4,8,2,2,2,2,Male,32,5,8,3,2,AT,0.1540716,0.6908355603857214,High
3,4,7,2,4,1,2,Female,82,1,2,1,3,AT,0.41419566,-0.09852798968847376,Mid
4,4,10,2,2,1,2,Female,63,4,5,1,2,AT,0.059786923,0.8049765788142919,High
4,5,7,4,2,1,2,Female,37,7,6,4,2,AT,0.2104999,0.9168796257714428,High
4,5,10,2,1,2,2,Female,60,7,NA,1,1,AT,0.059372954,1.0880911534142983,High
5,4,9,2,1,2,1,Female,31,6,10,4,1,AT,0.1328869,1.4801991104599164,High
2,2,5,5,5,3,3,Male,58,3,4,2,1,AT,0.08782912,-1.511191198176968,Low
1,1,0,5,5,5,5,Male,50,3,8,4,4,AT,0.13624865,-2.8119513597083112,Low
3,2,5,2,1,2,2,Female,63,3,10,3,1,AT,0.054735664,-0.7788981573170578,Low
4,5,10,1,1,1,2,Female,24,3,10,NA,2,AT,0.07382303,1.0880911534142983,High
1,4,0,5,1,3,2,Male,49,6,10,2,1,AT,0.073027134,-1.9626076359082905,Low
3,5,1,4,4,5,4,Male,41,5,NA,4,2,AT,0.16932654,-0.15783647037417842,Mid
5,5,10,1,1,1,2,Male,69,7,8,4,1,AT,0.030757517,1.8203841942742083,High
4,3,6,4,2,3,4,Female,44,3,5,5,3,AT,0.01783889,0.29357996735714403,Mid
3,2,7,2,2,2,2,Male,37,5,7,3,2,AT,0.11052674,-0.6647571388884873,Low
4,4,8,1,1,2,2,Male,75,3,6,5,2,AT,0.026296047,0.6908355603857214,High
3,2,7,2,2,3,3,Female,26,5,5,5,1,AT,0.28497866,-0.6647571388884873,Low
3,4,8,2,1,2,2,Male,41,7,9,3,1,AT,0.037599597,-0.04145748047418853,Mid
4,4,8,2,2,2,3,Female,62,3,6,4,1,AT,0.046673376,0.6908355603857214,High
4,5,9,1,1,2,2,Female,49,5,9,4,1,AT,0.060899924,1.0310206442000132,High
3,4,10,2,3,1,3,Male,54,3,3,1,2,AT,0.05628768,0.07268353795438197,Mid
3,3,8,2,2,2,2,Male,38,3,6,5,2,AT,0.11575607,-0.3245720550741953,Mid
4,3,6,2,2,2,2,Female,43,7,7,3,1,AT,0.15361887,0.29357996735714403,Mid
4,4,6,4,1,4,3,Male,32,6,10,3,1,AT,0.11201532,0.576694541957151,High
4,3,8,2,1,1,1,Female,50,5,9,1,1,AT,0.038310096,0.4077209857857146,Mid
3,4,10,1,1,2,2,Male,29,3,9,3,1,AT,0.09327767,0.07268353795438197,Mid
5,4,8,1,1,2,2,Female,66,3,NA,5,2,AT,0.1895922,1.423128601245631,High
2,1,1,4,2,4,4,Male,52,7,6,4,2,AT,0.07463719,-2.0225878096341154,Low
2,2,2,5,3,3,4,Male,35,5,6,4,2,AT,0.10764275,-1.6824027258198238,Low
3,4,10,2,2,1,2,Female,41,7,9,4,2,AT,0.088529035,0.07268353795438197,Mid
2,2,6,4,2,1,3,Male,37,3,9,3,2,AT,0.121718414,-1.4541206889626825,Low
3,3,8,2,1,2,2,Female,46,3,8,4,1,AT,0.07431619,-0.3245720550741953,Mid
4,4,9,2,2,2,2,Male,47,5,8,4,3,AT,0.084804006,0.7479060696000066,High
3,4,7,3,2,1,3,Female,50,5,NA,4,1,AT,0.06956347,-0.09852798968847376,Mid
4,5,7,4,2,3,3,Male,64,3,2,3,2,AT,0.047032878,0.9168796257714428,High
2,3,5,2,2,3,4,Male,68,3,7,2,2,AT,0.21977176,-1.2280766235769611,Low
5,5,10,1,1,1,1,Male,48,7,NA,1,1,AT,0.072831236,1.8203841942742083,High
4,5,10,1,1,1,1,Male,66,5,7,1,1,AT,0.048881397,1.0880911534142983,High
2,3,5,3,3,3,3,Male,55,3,7,2,1,AT,0.09653618,-1.2280766235769611,Low
3,3,2,3,2,3,2,Male,63,3,7,4,2,AT,0.08295712,-0.6669951103599068,Low
5,5,10,2,2,1,2,Female,33,7,4,1,1,AT,0.117519334,1.8203841942742083,High
3,2,10,2,3,4,2,Female,56,7,9,3,1,AT,0.050152488,-0.49354561124563157,Low
3,4,10,1,1,1,1,Male,75,5,4,4,2,AT,0.079709515,0.07268353795438197,Mid
4,2,8,4,2,2,4,Male,21,2,10,5,1,AT,0.5445393,0.12460641118570773,Mid
3,3,8,3,2,2,3,Female,52,3,6,4,2,AT,0.06490146,-0.3245720550741953,Mid
4,4,7,2,1,2,2,Male,69,5,5,3,2,AT,0.017844819,0.6337650511714361,High
4,3,8,2,2,1,1,Male,49,4,7,4,1,AT,0.098337725,0.4077209857857146,Mid
4,4,7,1,2,1,2,Male,53,3,10,3,1,AT,0.13166359,0.6337650511714361,High
3,3,10,4,2,2,3,Male,50,5,10,2,1,AT,0.118673004,-0.21043103664562482,Mid
5,5,7,1,1,1,1,Male,57,5,5,4,1,AT,0.10186143,1.6491726666313526,High
2,1,1,4,4,3,5,Female,63,3,3,2,2,AT,0.024098285,-2.0225878096341154,Low
4,3,9,3,2,2,3,Female,42,7,8,2,1,AT,0.036007207,0.46479149499999983,Mid
5,4,8,2,2,5,4,Male,83,3,3,1,1,AT,0.05295664,1.423128601245631,High
4,4,10,1,1,2,2,Male,50,7,6,2,2,AT,0.070753865,0.8049765788142919,High
4,5,9,3,1,1,1,Female,48,3,NA,2,3,AT,0.10167314,1.0310206442000132,High
5,3,9,3,5,3,2,Female,49,3,5,5,2,AT,0.15890373,1.1970845358599096,High
4,4,10,1,1,2,2,Female,29,5,10,4,1,AT,0.35112038,0.8049765788142919,High
3,3,6,5,1,2,4,Male,47,6,9,4,1,AT,0.03746466,-0.4387130735027658,Low
3,3,8,5,2,2,2,Female,50,7,3,1,3,AT,0.059939437,-0.3245720550741953,Mid
3,2,7,4,3,2,3,Female,34,3,6,2,2,AT,0.13425276,-0.6647571388884873,Low
2,3,7,4,2,2,3,Female,38,5,8,4,2,AT,0.07495724,-1.1139356051483906,Low
4,5,7,2,2,1,2,Female,44,7,8,2,2,AT,0.07264814,0.9168796257714428,High
1,3,5,5,5,3,3,Female,37,3,5,4,2,AT,0.10629076,-1.9603696644368709,Low
1,1,5,3,1,2,2,Male,36,1,1,3,2,AT,1.1737465,-2.526598813636885,Low
2,3,10,3,2,5,1,Male,43,3,7,5,1,AT,0.05045181,-0.9427240775055349,Low
4,4,10,2,1,1,1,Female,41,7,7,1,1,AT,0.18545394,0.8049765788142919,High
3,4,9,1,1,2,2,Male,61,3,4,5,2,AT,0.11447301,0.015613028740096714,Mid
1,5,0,5,5,5,5,Female,57,6,NA,3,2,AT,0.02794228,-1.6794930613082837,Low
3,3,7,4,3,2,4,Male,54,2,9,5,1,AT,0.7729635,-0.3816425642884806,Low
3,3,7,3,3,3,3,Female,51,3,NA,4,1,AT,0.053384345,-0.3816425642884806,Low
4,4,10,1,2,1,1,Male,65,5,9,3,1,AT,0.0943747,0.8049765788142919,High
3,4,9,1,2,2,2,Female,40,7,10,4,1,AT,0.029736267,0.015613028740096714,Mid
4,4,10,2,1,1,2,Female,64,3,4,2,2,AT,0.052511696,0.8049765788142919,High
5,5,10,1,1,1,1,Female,27,4,9,5,1,AT,0.050233867,1.8203841942742083,High
2,5,3,5,5,1,2,Female,70,5,6,4,1,AT,0.03196646,-0.7759884928055178,Low
3,4,8,2,2,1,2,Male,53,7,6,4,1,AT,0.18836842,-0.04145748047418853,Mid
5,4,10,2,2,1,2,Female,40,5,8,2,2,AT,0.062819146,1.5372696196742017,High
4,4,9,3,2,1,2,Female,48,5,8,4,1,AT,0.048395045,0.7479060696000066,High
4,4,8,4,1,3,3,Male,60,3,1,5,4,AT,0.3599041,0.6908355603857214,High
3,4,8,1,1,1,1,Male,33,6,1,1,1,AT,0.13675961,-0.04145748047418853,Mid
5,4,6,1,1,1,2,Male,72,7,8,2,1,AT,0.08559404,1.3089875828170607,High
5,5,10,1,1,1,1,Male,83,7,7,4,1,AT,0.036351185,1.8203841942742083,High
3,3,4,3,3,3,3,Male,74,5,8,1,2,AT,0.11746434,-0.5528540919313362,Low
4,3,10,2,1,1,2,Male,84,5,6,3,1,AT,0.07948092,0.5218620042142851,Mid
3,1,4,4,3,2,2,Female,28,5,5,5,1,AT,0.0651099,-1.1190832411313498,Low
4,3,9,3,2,2,3,Female,55,4,8,4,2,AT,0.13676538,0.46479149499999983,Mid
4,4,10,2,1,2,2,Female,50,7,9,3,1,AT,0.17661135,0.8049765788142919,High
4,5,10,1,1,1,1,Female,71,6,6,4,1,AT,0.012212344,1.0880911534142983,High
4,5,8,3,1,4,2,Female,74,5,NA,4,NA,AT,0.14286725,0.973950134985728,High
5,5,10,2,1,1,2,Female,67,6,9,3,2,AT,0.03993526,1.8203841942742083,High
