model,outcome,term,estimate,std.error,conf.low,conf.high,or,or_low,or_high
pooled,w1gq13,clusterMid,-0.8112642657212452,0.05631852206707287,-0.9216465406352323,-0.7008819908072581,0.44429600279262543,0.39786340320478497,0.49614751321046
pooled,w1gq13,clusterHigh,-1.6664100000783462,0.12620797948804527,-1.9137730944364848,-1.4190469057202075,0.18892408711604014,0.14752271804229614,0.24194450296391504
pooled,w1gq13,ghg_cum_pc,-0.033750460163136375,0.0745252520827634,-0.17981727018412125,0.1123163498578485,0.966812732829861,0.8354228541289753,1.1188667580042502
pooled,w1gq13,res_5yr_ma,-0.21446781938192458,0.06709086394532596,-0.34596349640644025,-0.0829721423574089,0.8069707801325322,0.7075383143261598,0.9203767863905641
pooled,w1gq13,gdp_constant20_eur_pc,-0.15246214895840857,0.10000521101560111,-0.34846876081531497,0.043544462898497865,0.8585913919198355,0.7057679622952759,1.0445064350631759
pooled,w1gq13,gndrFemale,-0.023395202929693305,0.05022516632069195,-0.1218347200357836,0.07504431417639698,0.9768763430836023,0.885294677883971,1.0779319174913904
pooled,w1gq13,age,0.0021789569883006793,0.004370956538204483,-0.006387960404569979,0.010745874381171337,1.002181332640247,0.9936323992392279,1.0108038186572545
pooled,w1gq13,eisced,-0.0709956460793501,0.013817071389897103,-0.0980766083753672,-0.043914683783333006,0.9314659476475875,0.9065794495147981,0.9570356046470873
pooled,w1gq13,hinctnta,0.025162746597077238,0.01733856653152665,-0.008820219348266548,0.05914571254242103,1.025482000650444,0.9912185646747824,1.0609298202592383
pooled,w1gq13,w1xq3,0.1458420376056524,0.0298348425289025,0.0873668207645796,0.2043172544467252,1.1570134090066895,1.0912969166755349,1.2266872637186224
pooled,w1gq13,hincfel,0.41792294085612947,0.15996790849656695,0.1043916015206594,0.7314542801915995,1.5188036321851077,1.1100350612317451,2.0781005516879674
pooled,w1gq13,1|2,-1.9490998139382179,0.6635160503853087,-3.249567375857686,-0.6486322520187493,0.1424022023848357,0.038790986119213534,0.5227602923455364
pooled,w1gq13,2|3,-0.2605336460549541,0.620871955378692,-1.4774203176081497,0.9563530254982415,0.7706402269364165,0.22822567940922708,2.602189030217434
pooled,w1gq13,3|4,1.1174788048511117,0.6481728001517026,-0.15291653920470316,2.387874148906927,3.057136840320557,0.8582013449892661,10.890318122913284
pooled,w1gq13,4|5,2.247370438731396,0.6212209790882137,1.0297996932777875,3.4649411841850046,9.4628200268572,2.8005048185725556,31.974579106895316
pooled,w1gq14,clusterMid,-1.0912653097947553,0.17595372711464288,-1.436128277885044,-0.7464023417044666,0.33579134471340294,0.23784685522013205,0.47406902681171725
